"Metabolite"	"Number_of_IVs"	"Number_of_Proxies"	"Weighted_Mode_Estimate"	"Weighted_Mode_SE"	"Weighted_Mode_Pval"	"Weighted_Median_Estimate"	"Weighted_Median_SE"	"Weighted_Median_Pval"	"Random_IVW_Estimate"	"Random_IVW_SE"	"Random_IVW_Pval"	"Random_IVW_RSE"	"Random_IVW_HetStat"	"Random_IVW_FStat"	"Fixed_IVW_Estimate"	"Fixed_IVW_SE"	"Fixed_IVW_Pval"	"Fixed_IVW_RSE"	"Fixed_IVW_HetStat"	"Fixed_IVW_FStat"	"Egger_Estimate"	"Egger_SE"	"Egger_Pval"	"Egger_Intercept"	"Egger_Intercept_SE"	"Egger_Intercept_Pval"	"Egger_RSE"	"Egger_HetStat"	"Egger_Isq"
"M52049"	311	0	-0.00622421509481841	0.0450776742525393	0.890179123504715	0.0248825725769261	0.0434736564735954	0.567078256058947	0.00128142995189492	0.0226168694077862	0.954817512863971	1.07705081418446	359.611921463977	119.184345185283	0.00128142995189492	0.0209988879911034	0.951340330153904	1.07705081418446	359.611921463977	119.184345185283	-0.0170428005524074	0.041886629997036	0.684096677567128	0.00104112789719226	0.00200215279000299	0.603060634758201	1.07832049378188	359.297501978788	0.967001913064062
"M52433"	311	0	0.011524067943014	0.0338331967266236	0.733394022276506	-0.00796867543946414	0.0350245405584799	0.820021817324275	-0.0547227915863834	0.0182814594261892	0.0027593385105837	1.09869601090961	374.211206560494	119.184345185283	-0.0547227915863834	0.0166392334591749	0.0010062235494976	1.09869601090961	374.211206560494	119.184345185283	0.0225821615175209	0.0335595505364533	0.501012050432097	-0.00437948727359116	0.00160123640592358	0.00623677670173306	1.08738880506808	365.366053736704	0.966889411236457
"M52437"	311	0	-0.0193707515485864	0.0349193046800738	0.579080025763868	-0.053559475868801	0.0369520035927609	0.147216528963147	-0.0758004057844772	0.0197579475477406	0.000124824877463985	1.18716960879264	436.905220812669	119.184345185283	-0.0758004057844772	0.0166429020768436	5.25056984008174e-06	1.18716960879264	436.905220812669	119.184345185283	-0.0660763686571122	0.0366998384212493	0.0717889903449491	-0.000550904685805653	0.0017511132158616	0.753063441597875	1.18889865268023	436.765321960562	0.9668904648184
"M52450"	311	0	-0.00679367722021951	0.0427728778996085	0.873801688183207	0.0382191418871558	0.0371581031064093	0.303688970477925	0.0418962705392971	0.0241651857548708	0.0829633341303848	1.1555517845292	413.942977285875	119.184345185283	0.0418962705392971	0.0209122482249605	0.0451309229150031	1.1555517845292	413.942977285875	119.184345185283	0.0127115193089997	0.0447467793570515	0.77635156998761	0.00165773956892922	0.00213861117015034	0.438252377420288	1.15629642932038	413.139622629849	0.966991381492712
"M52461"	311	0	0.0735597610843062	0.0364964336538776	0.0438488472367053	0.0703395991020656	0.03074283241079	0.02213752387295	0.0247042459805405	0.019412673329061	0.203165909413494	1.167352129921	422.440408521639	119.184345185283	0.0247042459805405	0.0166296636905736	0.137397407485183	1.167352129921	422.440408521639	119.184345185283	0.0494640153913755	0.0360251029143185	0.169738979264071	-0.00140274215019303	0.00171891680147277	0.414464853486467	1.16798158412171	421.531923081866	0.966890019381494
"M52465"	311	0	0.0614256427282234	0.0317067617071413	0.0527081687658866	0.087959501776279	0.0338465991261124	0.00935586346507689	0.0658333753740216	0.0198999070283847	0.000938892524031531	1.19933486615174	445.905277561834	119.184345185283	0.0658333753740216	0.0165924526919131	7.25787633274795e-05	1.19933486615174	445.905277561834	119.184345185283	0.0677092641552451	0.0369707121928192	0.0670364162974004	-0.000106272449323765	0.00176400084335866	0.951960407302386	1.20126691492533	445.900040076313	0.966890441184865
"M52466"	311	0	0.0899748126081987	0.0323198009443133	0.00537110315361378	0.107475212753325	0.0349660877874148	0.00211422959541061	0.0990690653094261	0.0203951737863272	1.18891597887963e-06	1.22195667230375	462.885213786173	119.184345185283	0.0990690653094261	0.0166905867029445	2.92728022752451e-09	1.22195667230375	462.885213786173	119.184345185283	0.0676670068313655	0.0378341116897233	0.0736924015579077	0.00177893007131932	0.00180519123422656	0.324401891496612	1.22201360276324	461.435028809567	0.966891443476479
"M52467"	311	0	0.0611827479031597	0.0397774960666081	0.124018135740945	0.0700441282042109	0.0375225541321604	0.0619406026508784	0.0691180736961289	0.0215622684513665	0.00134823219575781	1.28025722904974	508.108157485577	119.184345185283	0.0691180736961289	0.0168421376283662	4.06282226925245e-05	1.28025722904974	508.108157485577	119.184345185283	0.0280295168646926	0.0399686601959942	0.483123689852173	0.00232752240109776	0.00190697322127845	0.222263154893147	1.27924723067233	505.670304449495	0.966888749257955
"M52475"	311	0	-0.00530607894466928	0.0369282193605523	0.885748195525595	-0.0333269465218989	0.0344171104930229	0.332882111959952	-0.00650937249940752	0.0253577005507099	0.79740882589483	1.52280567325172	718.870506731161	119.184345185283	-0.00650937249940752	0.0166519609140689	0.695865783650496	1.52280567325172	718.870506731161	119.184345185283	-0.0181973599634064	0.0471028043930675	0.699250185655403	0.000662148905739687	0.0022474258743352	0.7682800027163	1.52505357601635	718.668618603559	0.96688966665352
"M52483"	311	0	0.0154101884711355	0.0357308739378394	0.666261186116011	-0.000541264791147231	0.0355828064310126	0.987863515857242	0.0178102016878507	0.0181922650100787	0.3275806790687	1.06202594936279	349.648726307177	119.184345185283	0.0178102016878507	0.01712977448526	0.298469122575232	1.06202594936279	349.648726307177	119.184345185283	0.0109336128049632	0.0337980273771937	0.746317706474652	0.00038951192691846	0.00161243151756065	0.809114886406685	1.06364261931508	349.582707081643	0.966886354968213
"M52603"	311	0	-0.00224614862176686	0.0351354600967695	0.94902735475105	-0.0268825499968112	0.0366607915736007	0.463388922378734	-0.0579556735310739	0.0261568334534691	0.0267121134719544	1.52869791174962	724.44436467017	119.184345185283	-0.0579556735310739	0.0171105312909941	0.000706267136265462	1.52869791174962	724.44436467017	119.184345185283	0.0327841609781393	0.0482154680897788	0.496535418778131	-0.00513945547565403	0.00230018342367396	0.0254588911648765	1.51894815893775	712.925884447974	0.966885155496654
