"Metabolite"	"Number_of_IVs_T2DM"	"Number_of_Proxies_T2DM"	"Simple_Median_Estimate_T2DM"	"Simple_Median_SE_T2DM"	"Simple_Median_Pval_T2DM"	"Weighted_Median_Estimate_T2DM"	"Weighted_Median_SE_T2DM"	"Weighted_Median_Pval_T2DM"	"Random_IVW_Estimate_T2DM"	"Random_IVW_SE_T2DM"	"Random_IVW_Pval_T2DM"	"Random_IVW_RSE_T2DM"	"Random_IVW_HetStat_T2DM"	"Random_IVW_FStat_T2DM"	"Fixed_IVW_Estimate_T2DM"	"Fixed_IVW_SE_T2DM"	"Fixed_IVW_Pval_T2DM"	"Fixed_IVW_RSE_T2DM"	"Fixed_IVW_HetStat_T2DM"	"Fixed_IVW_FStat_T2DM"	"Egger_Estimate_T2DM"	"Egger_SE_T2DM"	"Egger_Pval_T2DM"	"Egger_Intercept_T2DM"	"Egger_Intercept_SE_T2DM"	"Egger_Intercept_Pval_T2DM"	"Egger_RSE_T2DM"	"Egger_HetStat_T2DM"	"Egger_Isq_T2DM"	"Number_of_IVs_FG"	"Number_of_Proxies_FG"	"Simple_Median_Estimate_FG"	"Simple_Median_SE_FG"	"Simple_Median_Pval_FG"	"Weighted_Median_Estimate_FG"	"Weighted_Median_SE_FG"	"Weighted_Median_Pval_FG"	"Random_IVW_Estimate_FG"	"Random_IVW_SE_FG"	"Random_IVW_Pval_FG"	"Random_IVW_RSE_FG"	"Random_IVW_HetStat_FG"	"Random_IVW_FStat_FG"	"Fixed_IVW_Estimate_FG"	"Fixed_IVW_SE_FG"	"Fixed_IVW_Pval_FG"	"Fixed_IVW_RSE_FG"	"Fixed_IVW_HetStat_FG"	"Fixed_IVW_FStat_FG"	"Egger_Estimate_FG"	"Egger_SE_FG"	"Egger_Pval_FG"	"Egger_Intercept_FG"	"Egger_Intercept_SE_FG"	"Egger_Intercept_Pval_FG"	"Egger_RSE_FG"	"Egger_HetStat_FG"	"Egger_Isq_FG"	"Number_of_IVs_HBA1C"	"Number_of_Proxies_HBA1C"	"Simple_Median_Estimate_HBA1C"	"Simple_Median_SE_HBA1C"	"Simple_Median_Pval_HBA1C"	"Weighted_Median_Estimate_HBA1C"	"Weighted_Median_SE_HBA1C"	"Weighted_Median_Pval_HBA1C"	"Random_IVW_Estimate_HBA1C"	"Random_IVW_SE_HBA1C"	"Random_IVW_Pval_HBA1C"	"Random_IVW_RSE_HBA1C"	"Random_IVW_HetStat_HBA1C"	"Random_IVW_FStat_HBA1C"	"Fixed_IVW_Estimate_HBA1C"	"Fixed_IVW_SE_HBA1C"	"Fixed_IVW_Pval_HBA1C"	"Fixed_IVW_RSE_HBA1C"	"Fixed_IVW_HetStat_HBA1C"	"Fixed_IVW_FStat_HBA1C"	"Egger_Estimate_HBA1C"	"Egger_SE_HBA1C"	"Egger_Pval_HBA1C"	"Egger_Intercept_HBA1C"	"Egger_Intercept_SE_HBA1C"	"Egger_Intercept_Pval_HBA1C"	"Egger_RSE_HBA1C"	"Egger_HetStat_HBA1C"	"Egger_Isq_HBA1C"
"1-palmitoyl-2-linoleoyl-GPC (16_0_18_2)"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	1	NA	NA	NA	NA	NA	NA	0.0028497958078848	0.0642234966999259	0.964607001546385	4.01521449479502	16.121947439212	61.5516199404848	0.0028497958078848	0.0159950350804869	0.8585914131677	4.01521449479502	16.121947439212	61.5516199404848	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	1	NA	NA	NA	NA	NA	NA	-0.0252902902608958	0.0123060963426425	0.0398690984380762	0.457896109328443	0.209668846938125	61.5516199404848	-0.0252902902608958	0.0123060963426425	0.0398690984380762	0.457896109328443	0.209668846938125	61.5516199404848	NA	NA	NA	NA	NA	NA	NA	NA	NA
"1-palmitoyl-2-linoleoyl-GPE (16_0_18_2)"	2	0	NA	NA	NA	NA	NA	NA	-0.0541757982177808	0.033863779847706	0.109639530179761	3.58571011745137	12.8573170463932	765.504997557128	-0.0541757982177808	0.0094440930076566	9.66676262696275e-09	3.58571011745137	12.8573170463932	765.504997557128	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0	NA	NA	NA	NA	NA	NA	-0.0357905545068274	0.0212495718658359	0.0921246088572001	5.00647986801264	25.0648406688159	765.504997557128	-0.0357905545068274	0.00424441372502135	3.38674280519811e-17	5.00647986801264	25.0648406688159	765.504997557128	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0	NA	NA	NA	NA	NA	NA	-0.0194737545382939	0.0102949829378989	0.0585473420577626	3.17689041627734	10.0926327170348	765.504997557128	-0.0194737545382939	0.00324058484521557	1.8628775623749e-09	3.17689041627734	10.0926327170348	765.504997557128	NA	NA	NA	NA	NA	NA	NA	NA	NA
"1-palmitoyl-2-linoleoyl-GPI (16_0_18_2)"	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.167038251823913	0.025055737773587	2.6167849372106e-11	NA	NA	159.296061888122	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.105362589612007	0.0109217318500251	5.05857568590161e-22	NA	NA	159.296061888122	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.0552511140648328	0.00835191259119566	3.70586947022736e-11	NA	NA	159.296061888122	NA	NA	NA	NA	NA	NA	NA	NA	NA
"1-palmitoyl-2-oleoyl-GPC (16_0_18_1)"	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.337616264766308	0.0507091622969158	2.77777594680935e-11	NA	NA	52.4948529740629	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.0733948401665887	0.0266890327878504	0.00595952647010911	NA	NA	52.4948529740629	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.0360301942635981	0.0213512262302803	0.0915072499234822	NA	NA	52.4948529740629	NA	NA	NA	NA	NA	NA	NA	NA	NA
"1-palmitoyl-2-oleoyl-GPE (16_0_18_1)"	3	0	-0.20818061760477	0.0533579777017564	9.55653947469341e-05	-0.213676183663936	0.051168846623848	2.96805174416302e-05	-0.18064213036049	0.0920876144037791	0.0498051931557686	3.25614402555798	21.2049478303539	54.7615416000752	-0.18064213036049	0.0282811858692272	1.68773414706682e-10	3.25614402555798	21.2049478303539	54.7615416000752	-4.24425989739421	0.884843640494472	1.6136421696622e-06	0.32085981597798	0.0698308087775691	4.33128361110313e-06	0.304303782782585	0.0926007922157868	0	3	0	-0.0290191163933922	0.0213913574910209	0.174914274372366	-0.0588038102918423	0.0203742258898331	0.00389941342349033	-0.0922133639617484	0.0636751079314018	0.147565196499005	4.86769569503972	47.3889227590164	54.7615416000752	-0.0922133639617484	0.0130811603519686	1.79786476331323e-12	4.86769569503972	47.3889227590164	54.7615416000752	-2.57489399489871	1.43127313660562	0.0720149648611612	0.19672413853804	0.113356114473628	0.0826607093608429	3.43691707740268	11.8123989969422	0	3	0	-0.0529914299357596	0.0192019183856297	0.00578554234511045	-0.0605349600391854	0.0168454447841722	0.00032620212950492	-0.045459621942825	0.0430815968896741	0.291334703662316	4.32798938311945	37.4629842007894	54.7615416000752	-0.045459621942825	0.00995418266451996	4.95021982933111e-06	4.32798938311945	37.4629842007894	54.7615416000752	-1.94983088554718	0.311828558556071	4.02915922848024e-10	0.150753762997568	0.0246723797312491	9.94915039242983e-10	0.357978685990694	0.12814873962362	0
"1-palmitoyl-2-palmitoleoyl-GPC (16_0_16_1)*"	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.0625836997461564	0.0544206084749186	0.2501438712743	NA	NA	44.2421451860314	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.0857124583479968	0.0258497890255864	0.00091384643041668	NA	NA	44.2421451860314	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.0244892738137134	0.0204077281780945	0.230139340443417	NA	NA	44.2421451860314	NA	NA	NA	NA	NA	NA	NA	NA	NA
"1-palmitoyl-2-stearoyl-GPC (16_0_18_0)"	2	0	NA	NA	NA	NA	NA	NA	0.113615504670513	0.121506865842635	0.349760370414527	4.83396593644724	23.3672266747323	102.817281402912	0.113615504670513	0.0251360616603636	6.1833751896232e-06	4.83396593644724	23.3672266747323	102.817281402912	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0	NA	NA	NA	NA	NA	NA	0.0820970239773758	0.0623317717724199	0.187805927685819	5.52320470096914	30.5057901688076	102.817281402912	0.0820970239773758	0.011285435747381	3.47449993548767e-13	5.52320470096914	30.5057901688076	102.817281402912	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0	NA	NA	NA	NA	NA	NA	0.0494401713914734	0.0348539522536064	0.156046176986011	3.99851066646446	15.9880875498301	102.817281402912	0.0494401713914734	0.0087167335943172	1.41247939683879e-08	3.99851066646446	15.9880875498301	102.817281402912	NA	NA	NA	NA	NA	NA	NA	NA	NA
"1-palmitoyl-3-linoleoyl-glycerol (16_0_18_2)*"	3	0	-0.0696114343283051	0.0685355841781816	0.30977336981055	0.0390090108574305	0.0487535439993434	0.423637409874444	0.0435945261212129	0.151233074754877	0.773147318688215	4.6921620084296	44.0327686267002	41.6670182016811	0.0435945261212129	0.0322310002261608	0.176194607448385	4.6921620084296	44.0327686267002	41.6670182016811	0.14700673695909	1.27839752937785	0.908450689113496	-0.00974695673344771	0.118806572115971	0.934614466455491	6.61349989040645	43.7383808004062	0.502471067375343	3	0	0.0443677273740846	0.0292305025249367	0.129050413171301	0.0578268476224027	0.0201155554586236	0.00404369509547499	0.0326709015182028	0.0449912906664797	0.46774033756931	3.02363936597673	18.2847900309684	41.6670182016811	0.0326709015182028	0.0148798468404469	0.028117169139204	3.02363936597673	18.2847900309684	41.6670182016811	0.231657987907177	0.362780928678471	0.523108137107418	-0.0185208701126355	0.0333667259999886	0.578846750695549	3.73872961921492	13.9780991655949	0.708138617615343	3	0	-0.0220106962519185	0.0155033515568347	0.155683991147888	-0.0241198224557722	0.0152851669350325	0.114568179447505	-0.0337751158902207	0.0316856159015573	0.286448618668929	2.81994086269701	15.9041329382167	41.6670182016811	-0.0337751158902207	0.0112362696398013	0.00264795059138977	2.81994086269701	15.9041329382167	41.6670182016811	0.205604257811449	0.13276298860625	0.121464329580957	-0.0224731537271561	0.0122991904343782	0.0676688122236893	1.91459143879738	3.66566037751623	0.599987779814951
"1-palmitoyl-GPC (16_0)"	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00629672847175521	0.0377803708305313	0.867632334778193	NA	NA	94.2105559068267	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00719626111057739	0.0188901854152656	0.703238583398932	NA	NA	94.2105559068267	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.0359813055528869	0.0134929895823326	0.00766076113517946	NA	NA	94.2105559068267	NA	NA	NA	NA	NA	NA	NA	NA	NA
"1-palmitoyl-GPE (16_0)"	2	0	NA	NA	NA	NA	NA	NA	-0.159487056783039	0.249049157125935	0.521923083125611	9.39541623713281	88.2738462689789	98.0532158175737	-0.159487056783039	0.026507517159446	1.78038462199655e-09	9.39541623713281	88.2738462689789	98.0532158175737	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0	NA	NA	NA	NA	NA	NA	-0.00739635097097987	0.018973423543259	0.696664547514199	1.46344197648625	2.14166241854198	98.0532158175737	-0.00739635097097987	0.0129649305186766	0.568346042864463	1.46344197648625	2.14166241854198	98.0532158175737	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0	NA	NA	NA	NA	NA	NA	-0.0317896796001063	0.00945409939339151	0.00077232125286876	0.241699758904562	0.0584187734545235	98.0532158175737	-0.0317896796001063	0.00945409939339151	0.00077232125286876	0.241699758904562	0.0584187734545235	98.0532158175737	NA	NA	NA	NA	NA	NA	NA	NA	NA
