Metabolite	Number_of_IVs	Number_of_Proxies	Weighted_Mode_Estimate	Weighted_Mode_SE	Weighted_Mode_Pval	Weighted_Median_Estimate	Weighted_Median_SE	Weighted_Median_Pval	Random_IVW_Estimate	Random_IVW_SE	Random_IVW_Pval	Random_IVW_RSE	Random_IVW_HetStat	Random_IVW_FStat	Fixed_IVW_Estimate	Fixed_IVW_SE	Fixed_IVW_Pval	Fixed_IVW_RSE	Fixed_IVW_HetStat	Fixed_IVW_FStat	Egger_Estimate	Egger_SE	Egger_Pval	Egger_Intercept	Egger_Intercept_SE	Egger_Intercept_Pval	Egger_RSE	Egger_HetStat	Egger_Isq
1-arachidonoyl-GPA (20_4)	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0793303491516294	0.0128376913564877	6.431015610447801e-10	NA	NA	808.455676050236	NA	NA	NA	NA	NA	NA	NA	NA	NA
1-margaroyl-GPC (17_0)	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.688520610708786	0.0576650427729302	7.32231946236117e-33	NA	NA	42.7199104323286	NA	NA	NA	NA	NA	NA	NA	NA	NA
1-methylhistidine	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.194358762033658	0.0308392131640122	2.93212420642753e-10	NA	NA	146.300379944297	NA	NA	NA	NA	NA	NA	NA	NA	NA
1-palmitoleoyl-GPC (16_1)*	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.607574194398276	0.0573776406094103	3.35005917257862e-26	NA	NA	41.1585307221398	NA	NA	NA	NA	NA	NA	NA	NA	NA
1-palmitoyl-2-linoleoyl-GPI (16_0_18_2)	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.167038251823913	0.025055737773587	2.6167849372106e-11	NA	NA	159.296061888122	NA	NA	NA	NA	NA	NA	NA	NA	NA
1-palmitoyl-2-oleoyl-GPC (16_0_18_1)	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.337616264766308	0.0507091622969158	2.7777759468093497e-11	NA	NA	52.4948529740629	NA	NA	NA	NA	NA	NA	NA	NA	NA
1-stearyl-GPC (O-18_0)*	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.229191183358963	0.0381985305598272	1.9731752900754102e-9	NA	NA	86.0311314149178	NA	NA	NA	NA	NA	NA	NA	NA	NA
1,2-dilinoleoyl-GPC (18_2_18_2)	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.104007622513851	0.0156613794518927	3.1150783637078e-11	NA	NA	530.726182894194	NA	NA	NA	NA	NA	NA	NA	NA	NA
1,3,7-trimethylurate	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.127946483113694	0.027010924212891	2.170741577788e-6	NA	NA	181.895068867201	NA	NA	NA	NA	NA	NA	NA	NA	NA
2-arachidonoyl-GPC (20_4)*	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.228074597937725	0.0443221890729183	2.66335811759332e-7	NA	NA	62.075115018467	NA	NA	NA	NA	NA	NA	NA	NA	NA
